Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0000505,288,Carretta,200023,13.21917917,-26.59074722,8988,-88,89,14.065,-0.703315319,15.155,0.386684681,,,11.365,-3.403315319,4487.0,1.52,11.54,-1.266,0.129,-1.29,0.128,0.129,0.521,0.068,18.4185,3.650184681,0.0,,,,,,,13.8062,-0.962115319,0.0,12.9295,-1.838815319,0.0
R0001532,288,Carretta,200028,13.22064583,-26.56178333,8988,-88,89,14.19,-0.578315319,15.276,0.507684681,,,11.558,-3.210315319,4522.0,1.61,11.54,-1.19,0.111,-1.29,-0.352,,0.738,0.022,,,,,,,,,,13.9489,-0.819415319,0.0,13.0931,-1.675215319,0.0
R0001299,288,Carretta,200060,13.15674583,-26.56951111,8988,-88,89,14.993,0.224684681,15.859,1.090684681,,,12.542,-2.226315319,4741.0,2.13,11.54,-1.197,0.147,-1.29,0.184,,0.039,,,,,,,,,,,14.7127,-0.055615319,0.0,13.9362,-0.832115319,0.0
R0006235,288,Carretta,200064,13.21199167,-26.59805833,8988,-88,89,15.029,0.260684681,15.895,1.126684681,,,12.627,-2.141315319,4751.0,2.06,11.54,-1.18,0.13,-1.29,0.066,,0.922,0.158,,,,23.8817,9.113384681,0.0,23.11,8.341684681,0.0,21.297,6.528684681,0.0909,20.5532,5.784884681,0.0942
R0001180,288,Carretta,200076,13.18226667,-26.57348056,8988,-88,89,15.192,0.423684681,16.059,1.290684681,,,12.809,-1.959315319,4795.0,2.14,11.54,-1.18,0.156,-1.29,,,0.0,0.07,18.3885,3.620184681,0.0134,16.4824,1.714084681,0.0057,16.1158,1.347484681,0.0201,14.9405,0.172184681,0.0,14.1712,-0.597115319,0.0
R0002469,288,Carretta,200091,13.16804167,-26.60902778,8988,-88,89,15.379,0.610684681,16.229,1.460684681,,,13.123,-1.645315319,4846.0,2.25,11.54,-1.236,0.215,-1.29,-0.05,,0.672,0.095,20.102,5.333684681,0.0,19.4462,4.677884681,0.0,19.8505,5.082184681,0.0,19.2043,4.435984681,0.0037,,,
R0000355,288,Carretta,200122,13.1968875,-26.59525556,8988,-88,89,15.552,0.783684681,16.388,1.619684681,,,13.488,-1.280315319,4894.0,2.35,11.54,-1.242,0.145,-1.29,0.426,,0.172,,18.5392,3.770884681,0.0205,16.6509,1.882584681,0.0027,16.4174,1.649084681,0.0081,15.2959,0.527584681,0.0013,14.536,-0.232315319,0.0
R0018661,288,Carretta,200141,13.2015125,-26.57405278,8988,-88,89,15.731,0.962684681,16.546,1.777684681,,,13.558,-1.210315319,4943.0,2.43,11.54,-1.196,0.143,-1.29,0.059,,0.264,0.159,21.7004,6.932084681,0.0649,20.719,5.950684681,0.0227,21.0286,6.260284681,0.0525,20.2069,5.438584681,0.0165,19.6108,4.842484681,0.0193
R0027032,288,Carretta,200145,13.20767083,-26.54693611,8988,-88,89,15.746,0.977684681,16.574,1.805684681,,,13.578,-1.190315319,4947.0,2.46,11.54,-1.206,0.134,-1.29,,,0.771,0.009,18.4476,3.679284681,0.0,16.8569,2.088584681,0.0,16.5972,1.828884681,0.0,15.5166,0.748284681,0.0,,,
R0016011,288,Carretta,200147,13.19847917,-26.57869722,8988,-88,89,15.789,1.020684681,16.619,1.850684681,,,13.668,-1.100315319,4958.0,2.47,11.54,-1.233,0.12,-1.29,0.546,,0.603,0.061,20.6542,5.885884681,0.0238,19.8706,5.102284681,0.0039,20.2553,5.486984681,0.0459,19.5444,4.776084681,0.0092,19.027,4.258684681,0.0074
