NGC,Star ID,RAJ2000,DEJ2000,Fe/H,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
6934,37,308.551167,7.404528,-1.36,0.55,0.05,0.18,0.04,20.4544,0.0125,17.5167,0.0075,16.1723,0.0053,14.2964,0,13.2822,0,R0002078
6934,29,308.559875,7.413694,-1.34,0.57,0.17,0.53,0.11,19.9016,0.0026,17.6748,0.0064,16.9593,0.0072,15.5481,0,14.6419,0,R0003538
6934,27,308.568583,7.414806,-1.3,0.7,0.13,-0.23,0.09,20.1182,0.0319,17.5789,0.0224,16.7723,0.0126,15.2598,0,14.3084,0,R0003597
6934,14,308.556917,7.402,-1.6,0.44,0.03,0.32,0.02,19.7642,0.0151,17.143,0.0212,15.8802,0.0073,14.19,0,13.1613,0,R0001464
6934,1,308.5575,7.379944,-1.53,0.51,0.01,0.26,0.03,20.3183,0.0502,17.3845,0.0063,15.9172,0.013,14.0446,0,12.9357,0,R0000082
6934,5,308.543083,7.389222,-1.52,0.62,0.06,-0.07,0.05,20.6071,0.0479,17.5093,0.025,15.6933,0.0186,13.5861,0,12.4118,0,R0000324
6934,47,308.531583,7.40475,-1.35,0.61,0.08,-0.14,0.04,20.1931,0.0406,17.4813,0.0046,16.491,0.0028,14.8906,0,13.9074,0,R0002141
6934,22,308.540708,7.402639,-1.62,0,0,0.46,0.03,19.5162,0.0134,17.4186,0.0088,16.6642,0.0034,15.2491,0,14.3399,0,R0001618
6934,50,308.549542,7.424083,-1.61,0.28,0,0.39,0.09,19.5706,0.0194,17.8246,0.0039,17.3995,0.0009,16.1634,0,15.3382,0,R0003954
