NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
7078,29264,322.4892292,12.13930556,14.734,15.671,4810,1.77,-2.353,0.14,,,0.117,,17.8597,0.0047,16.062,0.0014,15.6807,0.0018,14.4791,0,13.6152,0,R0000080
7078,29436,322.47635,12.14004444,16.712,17.465,5312,2.81,-2.407,0.105,,,,,,,,,,,16.5302,0,15.7937,0,R0000098
7078,29521,322.4928292,12.14035833,15.991,16.776,5129,2.46,-2.295,0.023,,,0.188,0.077,18.0976,0.0116,16.8977,0.0238,16.8051,0.0157,15.7761,0,15.0078,0,R0000106
7078,30535,322.5198042,12.14416667,15.578,16.426,5024,2.18,-2.237,0.149,0.277,,,,,,,,,,15.3443,0,14.5235,0,R0000251
7078,31010,322.4776917,12.14592778,16.13,16.938,5164,2.46,-2.315,0.079,,,0.613,0.03,,,,,,,15.93,0,15.1534,0,R0000320
7078,31791,322.513275,12.14873056,15.396,16.258,4978,2.13,-2.28,0.031,,,0.139,,,,,,,,15.1632,0,14.3237,0,R0000493
7078,31956,322.5145583,12.14929722,15.54,16.386,5015,2.16,-2.34,0.089,0.402,,,,,,,,,,15.31,0,14.4843,0,R0000541
7078,32979,322.5133375,12.15265,16.414,17.166,5236,2.57,-2.345,0.04,,,0.166,,18.3805,0,17.2666,0,17.226,0,16.2212,0,15.4458,0,R0000861
7078,33053,322.4954833,12.15293889,14.237,15.217,4684,1.48,-2.335,0.179,,,0.155,0.136,17.8349,0.0135,15.8367,0,15.2713,0,13.9841,0,13.0772,0,R0000894
7078,34272,322.5136417,12.15688611,16.076,16.886,5151,2.47,-2.251,0.102,0.472,,0.376,0.127,18.2652,0.011,17.0323,0.0189,16.9113,0.0102,15.8521,0,15.06,0,R0001434
7078,34456,322.4842208,12.15758056,13.989,15.044,4621,1.37,-2.339,0.204,0.217,,0.338,0.01,17.7903,0.0073,15.871,0.0068,15.1218,0,13.7391,0,12.8274,0,R0001539
7078,34519,322.4907833,12.15775556,13.182,14.424,4416,0.87,-2.375,0.112,0.46,0.044,0.111,0.083,18.1705,0.0373,15.5944,0,14.4617,0,12.8518,0,11.8413,0,R0001571
7078,34561,322.5025625,12.1579,14.07,15.099,4641,1.39,-2.273,0.119,0.075,0.02,,,17.8385,0.0144,15.8054,0.0077,15.1235,0,13.7951,0,12.8712,0,R0001598
7078,34961,322.4795208,12.15931944,14.014,15.034,4627,1.41,-2.315,0.152,-0.014,,0.65,0.031,17.7361,0.0126,15.8142,0,15.119,0,13.7614,0,12.8459,0,R0001868
7078,34995,322.474275,12.15940556,13.389,14.582,4468,1,-2.34,0.081,,,0.643,0.004,18.0963,0.0043,15.6636,0,14.6504,0,13.0955,0,12.093,0,R0001894
7078,35961,322.4719542,12.16258333,16.097,16.916,5156,2.44,-2.414,0.102,,,0.375,0.059,18.2126,0.0255,16.9347,0.0084,16.9166,0.0076,15.8631,0,15.0951,0,R0002778
7078,37931,322.5134875,12.16965,15.388,16.237,4976,2.1,-2.373,0.051,,,0.266,0.078,18.0199,0.0091,16.479,0.0059,16.2956,0.004,15.1574,0,14.3327,0,R0006154
7078,38382,322.517,12.17123333,16.193,16.959,5180,2.53,-2.202,0.065,,,,,18.2485,0.0141,17.1082,0.0123,17.0257,0.0046,16.0216,0,15.257,0,R0006754
7078,38678,322.4740917,12.17233333,13.728,14.806,4554,1.23,-2.352,0.082,0.127,,0.557,0.027,17.9056,0.0065,15.7146,0,14.9147,0,13.4906,0,12.5407,0,R0007113
7078,39741,322.5073542,12.17574722,15.783,16.598,5076,2.31,-2.247,0.2,0.427,,0.378,0.176,18.1008,0.0059,16.7864,0.0026,16.6362,0.0051,15.5487,0,14.7553,0,R0007954
7078,39752,322.5191958,12.17575,13.899,14.931,4598,1.31,-2.361,0.133,0.262,,0.293,0.149,17.9274,0.0048,15.7292,0,15.0017,0,13.612,0,12.6722,0,R0007957
7078,40086,322.4906917,12.17686389,15.827,16.604,5087,2.36,-2.32,0.099,0.411,,0.366,0.074,18.0685,0.0107,16.7609,0.0078,16.6649,0.0087,15.5815,0,14.7918,0,R0008155
7078,40825,322.4816875,12.17933611,12.776,14.162,4313,0.65,-2.326,0.139,0.242,0.105,0.44,0.066,18.3045,0.0943,15.6401,0,14.2351,0,12.4222,0,11.3209,0,R0008536
7078,41279,322.5030833,12.180775,15.824,16.612,5087,2.35,-2.332,0.115,0.466,,,,18.1451,0.012,16.7972,0.0056,16.7141,0.0072,15.6124,0,14.8234,0,R0008705
7078,41287,322.501375,12.18081389,13.012,14.289,4373,0.78,-2.358,0.071,,,0.389,0.013,18.1581,0.0668,15.6778,0,14.4077,0,12.676,0,11.6166,0,R0008706
7078,41437,322.516175,12.181275,15.369,16.237,4971,2.07,-2.291,0.068,0.297,,,,18.0253,0,16.4827,0,16.2845,0,15.1357,0,14.3044,0,R0008758
7078,42262,322.476775,12.18408611,13.624,14.766,4528,1.13,-2.33,0.081,,,0.895,0.133,17.9572,0.0072,15.9003,3.00E-04,14.8768,0,13.3357,0,12.3972,0,R0009008
7078,42362,322.5107708,12.18438056,15.292,16.127,4952,2.03,-2.41,0.086,0.268,,0.375,0.165,17.936,0,16.4511,0,16.2392,0,15.0888,0,14.2639,0,R0009033
7078,42674,322.4729292,12.18552222,15.784,16.566,5076,2.29,-2.425,0.056,,,0.673,0.001,,,,,,,15.573,0,14.777,0,R0009115
7078,45062,322.5021667,12.19358333,14.303,15.272,4700,1.54,-2.314,0.106,0.028,,0.626,0.054,17.7739,0,15.9698,0,15.3644,0,14.0345,0,13.1344,0,R0009491
