NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,Na/Fe,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
2808,54266,137.95889,-64.84276,14.78999996,16.02799988,4691,1.84,-1.135,0.081,0.19,0.2,19.929,0.0085,17.1963,0.0086,16.2216,0.0145,14.5374,0,13.4707,0,R0038704
2808,54284,137.9782,-64.84268,14.40699959,15.78899956,4502,1.52,-1.161,0.069,,-0.032,20.1891,0.0213,17.2632,0.0106,15.9095,5.00E-04,14.083,0,12.9536,0,R0038741
2808,54644,138.00872,-64.84115,15.34700012,16.51300049,4346,1.26,-1.153,0.073,0.086,0.28,19.725,0.0173,17.3135,0.0125,16.6031,0.012,15.0843,0,14.0822,0,R0039175
2808,54789,138.00177,-64.84044,14.24699974,15.6260004,4485,1.49,-1.124,0.087,0.028,0.212,19.78,0.0179,17.1886,0.0051,15.8291,0,13.9238,0,12.8315,0,R0039338
2808,55354,138.04306,-64.83781,14.7489996,16.02400017,4315,1.21,-1.13,0.075,,0.759,19.7826,0.0226,17.2806,0.0108,16.1689,0.0094,14.4609,0,13.4042,0,R0039886
2808,56103,138.0076,-64.83417,15.34700012,16.50200081,4118,0.87,-1.069,0.07,0.317,0.056,19.6492,0,17.4205,0,16.602,0,15.0744,0,14.0739,0,R0040362
2808,48889,138.03545,-64.86624,13.61999989,15.14999962,4267,1.12,-1.137,0.086,0.198,0.212,21.3513,0.0316,18.1078,0.0158,15.5042,0,13.1025,0,11.8413,0,R0016679
2808,51983,138.01043,-64.8528,13.47399998,15.32800007,3902,0.52,-1.141,0.07,-0.138,0.417,20.335,0.017,17.6436,0.0077,15.4774,0,12.9845,0,11.5788,0,R0033484
2808,47606,138.02774,-64.87173,13.43599987,15.25699997,3884,0.48,-1.148,0.078,-0.125,0.419,20.8929,0.0304,17.8754,0.0109,15.5767,0,12.9429,0,11.5102,0,R0009902
2808,51499,138.03062,-64.85494,13.43500042,15.15699959,3864,0.44,-1.118,0.081,0.335,0.127,20.6909,0.0238,17.4914,0.0089,15.4366,0,12.972,0,11.6216,0,R0031591
2808,46422,137.98372,-64.87719,13.3760004,15.17399979,3900,0.51,-1.178,0.069,0.374,0.084,20.7483,0.0198,17.6332,0.0201,15.4386,0,12.8163,0,11.0615,0,R0005512
2808,53390,137.97061,-64.84663,14.66899967,15.95800018,4052,0.76,-1.148,0.07,0.261,0.193,19.9655,0.0142,17.1364,0.0046,16.0905,0.0041,14.3833,0,13.2819,0,R0037319
