age_Kruijssen,Fe/H,O/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
10.87,-1.158,0.28,19.0357,4.306142416,15.9903,1.260742416,14.6447,-0.084857584,12.9097,-1.819857584,11.8906,-2.838957584
10.87,-1.151,-0.16,19.2973,4.567742416,16.4861,1.756542416,14.6349,-0.094657584,12.6971,-2.032457584,11.5386,-3.190957584
10.87,-1.176,0.130473847,18.5908,3.861242416,16.1884,1.458842416,15.3185,0.588942416,13.883,-0.846557584,13.0138,-1.715757584
10.87,-1.259,0.138726079,17.8851,3.155542416,15.9097,1.180142416,15.5031,0.773542416,14.3515,-0.378057584,13.5798,-1.149757584
10.87,-1.138,0.08921271,18.4638,3.734242416,16.1633,1.433742416,15.4733,0.743742416,14.1167,-0.612857584,13.2678,-1.461757584
10.87,-1.21,0.050000001,18.3886,3.659042416,16.2363,1.506742416,15.6211,0.891542416,14.3237,-0.405857584,13.5136,-1.215957584
10.87,-1.174,-0.209999993,18.7871,4.057542416,16.065,1.335442416,14.697,-0.032557584,12.9614,-1.768157584,11.9572,-2.772357584
10.87,-1.115,-0.280000001,18.5272,3.797642416,16.3865,1.656942416,15.6098,0.880242416,14.172,-0.557557584,13.3557,-1.373857584
10.87,-1.206,0.196491668,18.7201,3.990542416,15.9868,1.257242416,15.0088,0.279242416,13.4639,-1.265657584,12.5252,-2.204357584
10.87,-1.108,0.105717163,18.1694,3.439842416,16.1076,1.378042416,15.5528,0.823242416,14.223,-0.506557584,13.3905,-1.339057584
10.87,-1.219,0.07,18.754,4.024442416,16.0279,1.298342416,14.7689,0.039342416,13.1339,-1.595657584,12.1729,-2.556657584
10.87,-1.158,0.229500584,19.0357,4.306142416,15.9903,1.260742416,14.6447,-0.084857584,12.9097,-1.819857584,11.8906,-2.838957584
10.83,-1.32,0.550000012,20.3377,4.26348076,17.2627,1.18848076,15.6807,-0.39351924,13.7986,-2.27561924,12.7563,-3.31791924
10.83,-1.38,0.469999999,19.6708,3.59658076,17.8815,1.80728076,17.3596,1.28538076,16.0011,-0.07311924,15.2365,-0.83771924
10.83,-1.26,0.050000001,19.7189,3.64468076,17.2062,1.13198076,16.0739,-0.00031924,14.5082,-1.56601924,13.5798,-2.49441924
10.83,-1.31,0.389999986,20.329,4.25478076,17.3729,1.29868076,15.7468,-0.32741924,13.8499,-2.22431924,12.7971,-3.27711924
10.83,-1.22,0.163482764,19.745,3.67078076,17.3872,1.31298076,16.4222,0.34798076,14.9394,-1.13481924,14.0659,-2.00831924
10.83,-1.38,0.639999986,19.6368,3.56258076,17.2979,1.22368076,16.582,0.50778076,15.2012,-0.87301924,14.3522,-1.72201924
10.83,-1.31,0.21299612,20.0482,3.97398076,17.2277,1.15348076,15.7864,-0.28781924,14.0686,-2.00561924,13.0726,-3.00161924
10.83,-1.41,0.620000005,19.4689,3.39468076,17.4481,1.37388076,17.0506,0.97638076,15.8458,-0.22841924,15.057,-1.01721924
10.83,-1.28,0.479999989,20.029,3.95478076,17.2148,1.14058076,15.9171,-0.15711924,14.2637,-1.81051924,13.2842,-2.79001924
10.83,-1.3,0.310000002,19.6911,3.61688076,17.2174,1.14318076,16.2432,0.16898076,14.774,-1.30021924,13.8827,-2.19151924
10.83,-1.33,0.560000002,20.3617,4.28748076,17.2339,1.15968076,15.6684,-0.40581924,13.793,-2.28121924,12.7359,-3.33831924
10.83,-1.21,0.097464937,19.6461,3.57188076,17.3855,1.31128076,16.5256,0.45138076,15.1296,-0.94461924,14.2753,-1.79891924
10.83,-1.32,0.579999983,19.6584,3.58418076,17.1273,1.05308076,16.3173,0.24308076,14.9161,-1.15811924,14.029,-2.04521924
10.9,-1.144,0.156,20.2288,5.215810096,17.2495,2.236510096,15.911,0.898010096,14.0652,-0.947789904,12.9362,-2.076789904
10.9,-1.157,-0.422,19.8226,4.809610096,17.2092,2.196210096,15.9523,0.939310096,14.1692,-0.843789904,13.0935,-1.919489904
10.9,-1.141,0.075,19.8637,4.850710096,17.2858,2.272810096,16.3569,1.343910096,14.7507,-0.262289904,13.7149,-1.298089904
10.9,-1.184,0.34,20.7483,5.735310096,17.6332,2.620210096,15.4386,0.425610096,12.8163,-2.196689904,11.0615,-3.951489904
10.9,-1.13,-0.736,19.9865,4.973510096,17.9252,2.912210096,17.248,2.235010096,15.1832,0.170210096,14.2064,-0.806589904
10.9,-1.097,-0.593,19.6078,4.594810096,17.1692,2.156210096,15.9594,0.946410096,13.7737,-1.239289904,12.7154,-2.297589904
10.9,-1.15,0.28,20.1753,5.162310096,17.3947,2.381710096,16.4081,1.395110096,14.4901,-0.522889904,13.4276,-1.585389904
10.9,-1.106,0.037,20.127,5.114010096,17.192,2.179010096,15.834,0.821010096,13.9443,-1.068689904,12.825,-2.187989904
10.9,-1.155,0.156,19.9596,4.946610096,17.3052,2.292210096,16.2513,1.238310096,14.4655,-0.547489904,13.4247,-1.588289904
10.9,-1.117,0.012,20.2776,5.264610096,17.2407,2.227710096,15.7668,0.753810096,13.8601,-1.152889904,12.6939,-2.319089904
