NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
362,986,15.8334875,-70.83209167,14.139,15.227,4533,1.59,-1.176,0.161,0.16,,0.21,0.12,18.5908,0.0061,16.1884,0.005,15.3185,0,13.883,0,13.0138,0,R0009389
362,995,15.84649583,-70.83193889,14.548,15.446,4661,1.92,-1.259,0.111,0.17,,-0.14,0.04,17.8851,0.0148,15.9097,0,15.5031,0,14.3515,0,13.5798,0,R0009402
362,1767,15.81937917,-70.82100556,14.354,15.37,4608,1.74,-1.138,0.078,0.11,,0.21,0.14,18.4638,0,16.1633,0,15.4733,0,14.1167,0,13.2678,0,R0010086
362,12164,15.7547,-70.83879167,14.576,15.487,4674,1.86,-1.21,0.156,0.05,,0.19,0.1,18.3886,0.0146,16.2363,9.00E-04,15.6211,0.0145,14.3237,0,13.5136,0,R0008371
362,15834,15.84862917,-70.86715278,13.255,14.488,4241,1.03,-1.174,0.148,-0.21,,0.33,0.08,18.7871,0.0115,16.065,0.0019,14.697,0,12.9614,0,11.9572,0,R0000710
362,15922,15.8094875,-70.86619444,14.352,15.369,4605,1.73,-1.115,0.14,-0.28,0.02,0.68,0.03,18.5272,0.0117,16.3865,0.0063,15.6098,0.0062,14.172,0,13.3557,0,R0000796
362,16018,15.79562083,-70.86513889,13.493,14.647,4320,1.24,-1.2,0.124,0.34,0.02,0.07,0.07,18.8296,0.0252,15.973,5.00E-04,14.8473,0,-99.9999,99.9999,12.2768,0,R0000917
362,16087,15.85345417,-70.86441667,13.717,14.82,4404,1.35,-1.206,0.176,0.24,0.02,0.05,0.09,18.7201,0.0046,15.9868,6.00E-04,15.0088,0,13.4639,0,12.5252,0,R0001008
362,16118,15.82660833,-70.86407222,14.455,15.414,4645,1.81,-1.108,0.146,0.13,,0,0.12,18.1694,0.015,16.1076,0.0034,15.5528,0.0035,14.223,0,13.3905,0,R0001050
362,16138,15.78714167,-70.86387222,13.413,14.582,4293,1.13,-1.219,0.142,0.07,0.1,0.29,0.08,18.754,0.0049,16.0279,0.0028,14.7689,0,13.1339,0,12.1729,0,R0001074
362,18947,15.87764583,-70.83629167,13.204,14.453,4228,1.01,-1.158,0.078,0.28,0.07,-0.06,0.03,19.0357,0.0174,15.9903,0.0075,14.6447,0,12.9097,0,11.8906,0,R0008839
