NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F435W,F435W_abs,F435W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e,Star ID,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,25226,6.02751667,-72.07716389,4521,12.457,-0.819172535,13.75,0.473827465,NaN,NaN,0,-13.27617254,4070,1.16,12.52,-0.764,0.042,-0.75,0.003,0.027,0.514,0.043,18.8583,5.582127465,0.0104,15.5167,2.240527465,0,13.7398,0.463627465,0,12.0098,-1.266372535,0,10.9901,-2.286072535,0,R0016453,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,25961,5.95597083,-72.07402778,4521,12.966,-0.310172535,14.132,0.855827465,NaN,NaN,9.913,-3.363172535,4264,1.53,12.52,-0.783,0.147,-0.75,0.089,0.004,0.54,0.148,18.4295,5.153327465,0.0169,15.5566,2.280427465,0,14.1951,0.918927465,0,12.6376,-0.638572535,0,11.6955,-1.580672535,0,R0018702,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,25988,6.07846667,-72.07389722,4521,13.457,0.180827465,14.561,1.284827465,NaN,NaN,10.843,-2.433172535,4550,1.92,12.52,-0.73,0.144,-0.75,NaN,NaN,0.417,0.061,18.5536,5.277427465,0.0091,15.8572,2.581027465,0,14.7838,1.507627465,0,13.129,-0.147172535,0,12.2317,-1.044472535,0,R0018788,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,26870,6.05100833,-72.06996944,4521,13.863,0.586827465,14.867,1.590827465,NaN,NaN,0,-13.27617254,4572,2.1,12.52,-0.78,0.159,-0.75,0.114,NaN,0.674,0.13,18.2235,4.947327465,0.0139,15.8427,2.566527465,0,14.9158,1.639627465,0,13.577,0.300827465,0,12.7401,-0.536072535,0,R0021007,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,27551,6.07762083,-72.0671,4521,14.399,1.122827465,15.319,2.042827465,NaN,NaN,0,-13.27617254,4723,2.41,12.52,-0.794,0.074,-0.75,0.325,NaN,0.504,0.03,18.3322,5.056027465,0.0093,16.1734,2.897227465,0,15.484,2.207827465,0,14.2514,0.975227465,0,13.4622,0.186027465,0,R0022191,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,28628,5.99375417,-72.06256111,4521,13.582,0.305827465,14.618,1.341827465,NaN,NaN,10.988,-2.288172535,4567,1.99,12.52,-0.731,0.131,-0.75,NaN,NaN,0.619,0.172,18.2458,4.969627465,0.0103,15.6998,2.423627465,0,14.6564,1.380227465,0,13.3172,0.041027465,0,12.4483,-0.827872535,0,R0023714,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,29031,6.10287083,-72.06073889,4521,14.571,1.294827465,15.487,2.210827465,NaN,NaN,12.186,-1.090172535,4765,2.5,12.52,-0.658,0.113,-0.75,NaN,NaN,0.519,0.24,18.4178,5.141627465,0.0116,16.1519,2.875727465,0,15.5521,2.275927465,0,14.3188,1.042627465,0,13.5177,0.241527465,0,R0024168,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,29167,6.05335833,-72.06066944,4521,12.59,-0.686172535,13.853,0.576827465,NaN,NaN,9.209,-4.067172535,4121,1.26,12.52,-0.717,0.131,-0.75,NaN,NaN,0.574,0.108,18.9553,5.679127465,0.0155,15.6445,2.368327465,0,13.945,0.668827465,0,12.2296,-1.046572535,0,11.1981,-2.078072535,0,R0024181,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,30193,6.03802917,-72.05577778,4521,14.085,0.808827465,15.068,1.791827465,NaN,NaN,11.537,-1.739172535,4638,2.23,12.52,-0.729,0.103,-0.75,NaN,NaN,0.327,0.127,-99.9999,-113.2760725,99.9999,15.8469,2.570727465,0,15.0949,1.818727465,0,13.7858,0.509627465,0,12.9491,-0.327072535,0,R0025208,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,30340,6.01150417,-72.05500833,4521,12.395,-0.881172535,13.748,0.471827465,NaN,NaN,8.934,-4.342172535,4046,1.11,12.52,-0.714,0.1,-0.75,0.17,0.122,0.488,0.062,-99.9999,-113.2760725,99.9999,15.7321,2.455927465,0,13.8185,0.542327465,0,12.0301,-1.246072535,0,10.9334,-2.342772535,0,R0025327,,,,,,,,,,,,,,,,,,,,,,
