NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F435W,F435W_abs,F435W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e,Star ID,,,,,,,,,,,,,,,,,,,,,,
104,Marino,24665,6.087875,-72.07949722,4521,12.943,-0.333172535,14.109,0.832827465,NaN,NaN,0,-13.27617254,4256,1.52,12.52,-0.75,0.121,-0.75,0.241053702,0.019,0.479512957,0.016,18.5912,5.315027465,0.0135,15.4941,2.217927465,0,14.1848,0.908627465,0,12.6576,-0.618572535,0,11.7145,-1.561672535,0,R0014514,,,,,,,,,,,,,,,,,,,,,,
104,Marino,24901,6.08612083,-72.07861389,4521,13.975,0.698827465,14.985,1.708827465,NaN,NaN,0,-13.27617254,4606,2.17,12.52,-0.771,0.159,-0.75,NaN,NaN,0.690999985,0.12,18.257,4.980827465,0.0076,15.9201,2.643927465,0,15.0095,1.733327465,0,13.6955,0.419327465,0,12.8655,-0.410672535,0,R0015269,,,,,,,,,,,,,,,,,,,,,,
104,Marino,25988,6.07846667,-72.07389722,4521,13.457,0.180827465,14.561,1.284827465,NaN,NaN,10.843,-2.433172535,4550,1.92,12.52,-0.73,0.144,-0.75,NaN,NaN,0.488894422,0.061,18.5536,5.277427465,0.0091,15.8572,2.581027465,0,14.7838,1.507627465,0,13.129,-0.147172535,0,12.2317,-1.044472535,0,R0018788,,,,,,,,,,,,,,,,,,,,,,
104,Marino,26058,6.02807917,-72.07389722,4521,12.403,-0.873172535,13.718,0.441827465,NaN,NaN,9.186,-4.090172535,4127,1.19,12.52,-0.779,0.107,-0.75,0.409000009,0.029,0.475307467,0.085,18.7736,5.497427465,0.0273,15.4416,2.165427465,0,13.7323,0.456127465,0,12.0009,-1.275272535,0,10.982,-2.294172535,0,R0018794,,,,,,,,,,,,,,,,,,,,,,
104,Marino,26870,6.05100833,-72.06996944,4521,13.863,0.586827465,14.867,1.590827465,NaN,NaN,0,-13.27617254,4572,2.1,12.52,-0.78,0.159,-0.75,0.092513602,NaN,0.674000025,0.13,18.2235,4.947327465,0.0139,15.8427,2.566527465,0,14.9158,1.639627465,0,13.577,0.300827465,0,12.7401,-0.536072535,0,R0021007,,,,,,,,,,,,,,,,,,,,,,
104,Marino,28628,5.99375417,-72.06256111,4521,13.582,0.305827465,14.618,1.341827465,NaN,NaN,10.988,-2.288172535,4567,1.99,12.52,-0.731,0.131,-0.75,NaN,NaN,0.619000018,0.172,18.2458,4.969627465,0.0103,15.6998,2.423627465,0,14.6564,1.380227465,0,13.3172,0.041027465,0,12.4483,-0.827872535,0,R0023714,,,,,,,,,,,,,,,,,,,,,,
104,Marino,29031,6.10287083,-72.06073889,4521,14.571,1.294827465,15.487,2.210827465,NaN,NaN,12.186,-1.090172535,4765,2.5,12.52,-0.658,0.113,-0.75,NaN,NaN,0.518999994,0.24,18.4178,5.141627465,0.0116,16.1519,2.875727465,0,15.5521,2.275927465,0,14.3188,1.042627465,0,13.5177,0.241527465,0,R0024168,,,,,,,,,,,,,,,,,,,,,,
104,Marino,29167,6.05335833,-72.06066944,4521,12.59,-0.686172535,13.853,0.576827465,NaN,NaN,9.209,-4.067172535,4121,1.26,12.52,-0.717,0.131,-0.75,NaN,NaN,0.574000001,0.108,18.9553,5.679127465,0.0155,15.6445,2.368327465,0,13.945,0.668827465,0,12.2296,-1.046572535,0,11.1981,-2.078072535,0,R0024181,,,,,,,,,,,,,,,,,,,,,,
104,Marino,30193,6.03802917,-72.05577778,4521,14.085,0.808827465,15.068,1.791827465,NaN,NaN,11.537,-1.739172535,4638,2.23,12.52,-0.729,0.103,-0.75,NaN,NaN,0.459779516,0.127,NaN,NaN,NaN,15.8469,2.570727465,0,15.0949,1.818727465,0,13.7858,0.509627465,0,12.9491,-0.327072535,0,R0025208,,,,,,,,,,,,,,,,,,,,,,
104,Marino,30340,6.01150417,-72.05500833,4521,12.395,-0.881172535,13.748,0.471827465,NaN,NaN,8.934,-4.342172535,4046,1.11,12.52,-0.714,0.1,-0.75,0.138726079,0.122,0.51186285,0.062,NaN,NaN,NaN,15.7321,2.455927465,0,13.8185,0.542327465,0,12.0301,-1.246072535,0,10.9334,-2.342772535,0,R0025327,,,,,,,,,,,,,,,,,,,,,,
104,Marino,31223,6.0267125,-72.05117778,4521,14.56,1.283827465,15.496,2.219827465,NaN,NaN,0,-13.27617254,4763,2.49,12.52,-0.739,0.164,-0.75,NaN,NaN,0.429657195,0.019,NaN,NaN,NaN,16.1307,2.854527465,0,NaN,NaN,NaN,14.2675,0.991327465,0,13.4862,0.210027465,0,R0025771,,,,,,,,,,,,,,,,,,,,,,
104,Marino,31525,6.04209167,-72.04978056,4521,13.228,-0.048172535,14.34,1.063827465,NaN,NaN,7.892,-5.384172535,4360,1.71,12.52,-0.742,0.114,-0.75,0.132124296,0.016,0.629000008,0.017,NaN,NaN,NaN,15.6486,2.372427465,0,NaN,NaN,NaN,12.9299,-0.346272535,0,11.9884,-1.287772535,0,R0025877,,,,,,,,,,,,,,,,,,,,,,
288,Carretta,200001,13.17130833,-26.55743056,8988,11.38,-3.388315319,15.213,0.444684681,NaN,NaN,8.589,-6.179315319,3754,0.4,11.54,-1.185,0.161,-1.29,-0.004,0.186,0.169,0.061,19.5093,4.740984681,0.0173,16.8509,2.082584681,0,-99.9999,-114.7682153,99.9999,12.0358,-2.732515319,0,10.6808,-4.087515319,0,R0001617,,,,,,,,,,,,,,,,,,,,,,
288,Carretta,200008,13.21875417,-26.60104444,8988,13.477,-1.291315319,14.729,-0.039315319,NaN,NaN,10.553,-4.215315319,4327,1.18,11.54,-1.236,0.146,-1.29,-0.047,0.093,0.737,0.095,-99.9999,-114.7682153,99.9999,-99.9999,-114.7682153,99.9999,-99.9999,-114.7682153,99.9999,13.2077,-1.560615319,0,12.2431,-2.525215319,0,R0000181,,,,,,,,,,,,,,,,,,,,,,
288,Carretta,200009,13.192725,-26.59695556,8988,13.509,-1.259315319,14.774,0.005684681,NaN,NaN,10.622,-4.146315319,4335,1.21,11.54,-1.207,0.136,-1.29,NaN,NaN,0.502,0.085,18.7742,4.005884681,0.0098,-99.9999,-114.7682153,99.9999,14.8646,0.096284681,0,13.2423,-1.526015319,0,12.2932,-2.475115319,0,R0000310,,,,,,,,,,,,,,,,,,,,,,
288,Carretta,200014,13.20886667,-26.57066667,8988,13.864,-0.904315319,14.996,0.227684681,NaN,NaN,11.095,-3.673315319,4432,1.41,11.54,-1.213,0.111,-1.29,0.302,0.027,0.247,0.067,18.6949,3.926584681,0.0215,15.9644,1.196084681,6.00E-04,15.0652,0.296884681,0.0072,13.5954,-1.172915319,0,12.6846,-2.083715319,0,R0001265,,,,,,,,,,,,,,,,,,,,,,
288,Carretta,200015,13.18829583,-26.58275556,8988,13.864,-0.904315319,15.013,0.244684681,NaN,NaN,11.104,-3.664315319,4432,1.41,11.54,-1.335,0.21,-1.29,-0.171,NaN,0.571,0.074,18.5007,3.732384681,0.0091,16.0048,1.236484681,0.0024,15.0584,0.290084681,6.00E-04,13.5998,-1.168515319,0,12.7059,-2.062415319,0,R0000836,,,,,,,,,,,,,,,,,,,,,,
