NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
288,200001,13.17130833,-26.55743056,11.38,15.213,3754,0.4,-1.185,0.161,-0.004,0.186,0.169,0.061,19.5093,0.0173,16.8509,0,-99.9999,99.9999,12.0358,0,10.6808,0,R0001617
288,200008,13.21875417,-26.60104444,13.477,14.729,4327,1.18,-1.236,0.146,-0.047,0.093,0.737,0.095,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,13.2077,0,12.2431,0,R0000181
288,200009,13.192725,-26.59695556,13.509,14.774,4335,1.21,-1.207,0.136,,,0.502,0.085,18.7742,0.0098,-99.9999,99.9999,14.8646,0,13.2423,0,12.2932,0,R0000310
288,200014,13.20886667,-26.57066667,13.864,14.996,4432,1.41,-1.213,0.111,0.302,0.027,0.247,0.067,18.6949,0.0215,15.9644,6.00E-04,15.0652,0.0072,13.5954,0,12.6846,0,R0001265
288,200015,13.18829583,-26.58275556,13.864,15.013,4432,1.41,-1.335,0.21,-0.171,,0.571,0.074,23.2479,0.2176,21.7421,0.0027,21.8567,0.0868,20.438,0.0649,19.5103,0.0823,R0014452
288,200016,13.17716667,-26.58678333,13.883,14.989,4438,1.42,-1.317,0.122,0.047,,0.564,0.059,18.522,0.0155,16.0096,0.0073,15.0788,0.0029,13.6055,0,12.7164,0,R0000667
288,200017,13.16657917,-26.56376667,13.887,15.051,4439,1.4,-1.183,0.166,0.377,0.309,0.191,0.07,18.6844,0.0106,16.0361,0.0181,15.1303,0.0067,13.6223,0,12.7163,0,R0001469
288,200023,13.21917917,-26.59074722,14.065,15.155,4487,1.52,-1.266,0.129,0.128,0.129,0.521,0.068,18.4185,0,-99.9999,99.9999,-99.9999,99.9999,13.8062,0,12.9295,0,R0000505
288,200028,13.22064583,-26.56178333,14.19,15.276,4522,1.61,-1.19,0.111,-0.352,,0.738,0.022,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,13.9489,0,13.0931,0,R0001532
288,200036,13.2073625,-26.58651667,14.461,15.457,4596,1.76,-1.253,0.129,0.049,,0.669,0.06,18.3557,0.0221,16.1687,0.0049,15.4939,0.0057,14.1916,0,13.355,0,R0000681
288,200049,13.19255833,-26.58743889,14.72,15.695,4666,1.94,-1.194,0.131,,,0.717,0.033,18.2486,0.0054,16.2537,0.006,15.689,0.0096,14.4564,0,13.6403,0,R0000637
288,200057,13.15815,-26.60168056,14.908,15.842,4718,1.97,-1.232,0.163,,,-0.005,0.076,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.6278,0,13.8271,0,R0000162
288,200060,13.15674583,-26.56951111,14.993,15.859,4741,2.13,-1.197,0.147,0.184,,0.039,,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.7127,0,13.9362,0,R0001299
288,200064,13.21199167,-26.59805833,15.029,15.895,4751,2.06,-1.18,0.13,0.066,,0.922,0.158,-99.9999,99.9999,23.8817,0,23.11,0,21.297,0.0909,20.5532,0.0942,R0006235
288,200074,13.18717917,-26.57504167,15.159,16.065,4786,2.14,-1.194,0.13,,,0.055,0.014,21.6821,0.0609,20.8302,0.0391,20.981,0.0551,20.1199,0.0213,19.5257,0.0078,R0018137
288,200076,13.18226667,-26.57348056,15.192,16.059,4795,2.14,-1.18,0.156,,,0,0.07,18.3885,0.0134,16.4824,0.0057,16.1158,0.0201,14.9405,0,14.1712,0,R0001180
288,200091,13.16804167,-26.60902778,15.379,16.229,4846,2.25,-1.236,0.215,-0.05,,0.672,0.095,20.102,0,19.4462,0,19.8505,0,19.2043,0.0037,-99.9999,99.9999,R0002469
288,200097,13.16559167,-26.59096667,15.413,16.295,4856,2.27,-1.206,0.111,-0.023,,0.37,0.093,18.4805,0.0162,16.5934,0.002,16.3127,0.0041,15.1538,0,14.3945,0,R0000498
288,200114,13.213825,-26.567025,15.501,16.367,4880,2.34,-1.247,0.102,-0.184,,0.468,0.066,18.4288,0.0031,16.6711,0,16.363,0,15.257,0,14.5137,0,R0001367
288,200117,13.20367083,-26.59163333,15.531,16.355,4888,2.38,-1.193,0.208,,,0.006,0.002,22.0224,0.0701,20.891,0.016,21.1892,0.0529,20.3162,0.0116,19.7063,0.007,R0009344
288,200119,13.15727083,-26.56288889,15.54,16.403,4890,2.35,-1.249,0.123,,,0.004,0.073,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.2885,0,14.5606,0,R0001495
288,200122,13.1968875,-26.59525556,15.552,16.388,4894,2.35,-1.242,0.145,0.426,,0.172,,18.5392,0.0205,16.6509,0.0027,16.4174,0.0081,15.2959,0.0013,14.536,0,R0000355
288,200141,13.2015125,-26.57405278,15.731,16.546,4943,2.43,-1.196,0.143,0.059,,0.264,0.159,21.7004,0.0649,20.719,0.0227,21.0286,0.0525,20.2069,0.0165,19.6108,0.0193,R0018661
288,200145,13.20767083,-26.54693611,15.746,16.574,4947,2.46,-1.206,0.134,,,0.771,0.009,18.4476,0,16.8569,0,16.5972,0,15.5166,0,-99.9999,99.9999,R0027032
288,200147,13.19847917,-26.57869722,15.789,16.619,4958,2.47,-1.233,0.12,0.546,,0.603,0.061,20.6542,0.0238,19.8706,0.0039,20.2553,0.0459,19.5444,0.0092,19.027,0.0074,R0016011
288,200154,13.20505,-26.57820278,15.825,16.664,4968,2.51,-1.204,0.112,0.23,,0.036,0.25,18.593,0.0103,16.8096,0.0138,16.6496,0.004,15.5781,4.00E-04,14.8491,0,R0001014
288,200182,13.16789583,-26.60533889,15.937,16.74,4999,2.55,-1.179,0.16,0.097,,0.182,,18.6235,0.0032,16.9359,0,16.7704,0,15.6853,0,14.9527,0,R0000061
288,200193,13.16311667,-26.57331667,15.985,16.773,5012,2.55,-1.223,0.141,,,0.472,0.126,24.8948,0,-99.9999,99.9999,24.6896,0,23.0967,0.1012,22.0923,0.0105,R0018310
288,200199,13.1967875,-26.58870833,16.021,16.798,5022,2.61,-1.233,0.125,0.04,,0.198,0.076,18.4649,0.0112,16.8686,0.0067,16.7587,0.003,15.7626,8.00E-04,15.0612,0,R0000592
288,200222,13.18657917,-26.54932222,16.126,16.908,5050,2.65,-1.25,0.117,,,0.103,0.035,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.1771,0,R0001735
288,200226,13.1689375,-26.55522778,16.16,16.949,5060,2.61,-1.158,0.188,,,0.191,0.084,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,23.7941,0,22.318,0.0424,R0025332
288,200238,13.17605833,-26.56288056,16.198,17.01,5070,2.75,-1.197,0.141,,,0.537,0.077,18.6578,0.0138,17.1743,0.0066,16.9843,0.0132,15.9594,9.00E-04,15.2558,0,R0001496
