Na/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
0.468,18.4288,3.660484681,16.6711,1.902784681,16.363,1.594684681,15.257,0.488684681,14.5137,-0.254615319
0.006,18.1755,3.407184681,16.507,1.738684681,16.3376,1.569284681,15.2929,0.524584681,14.5651,-0.203215319
0.172,18.5392,3.770884681,16.6509,1.882584681,16.4174,1.649084681,15.2959,0.527584681,14.536,-0.232315319
0.264,18.4661,3.697784681,16.8239,2.055584681,16.5557,1.787384681,15.4989,0.730584681,14.7575,-0.010815319
0.603,18.4612,3.692884681,16.9199,2.151584681,16.6518,1.883484681,15.5801,0.811784681,14.8487,0.080384681
0.036,18.593,3.824684681,16.8096,2.041284681,16.6496,1.881284681,15.5781,0.809784681,14.8491,0.080784681
0.182,18.6235,3.855184681,16.9359,2.167584681,16.7704,2.002084681,15.6853,0.916984681,14.9527,0.184384681
0.472,18.5659,3.797584681,17.0194,2.251084681,16.7921,2.023784681,15.7335,0.965184681,15.0192,0.250884681
0.198,18.4649,3.696584681,16.8686,2.100284681,16.7587,1.990384681,15.7626,0.994284681,15.0612,0.292884681
0.537,18.6578,3.889484681,17.1743,2.405984681,16.9843,2.215984681,15.9594,1.191084681,15.2558,0.487484681
0.017,18.7284,3.960084681,17.0668,2.298484681,16.9869,2.218584681,15.9577,1.189384681,15.2321,0.463784681
-0.002,18.8161,4.047784681,17.211,2.442684681,17.1231,2.354784681,16.112,1.343684681,15.3865,0.618184681
0.386,18.754,3.985684681,17.3376,2.569284681,17.1984,2.430084681,16.2114,1.443084681,15.5188,0.750484681
0.325,18.7499,3.981584681,17.3332,2.564884681,17.2076,2.439284681,16.1949,1.426584681,15.5132,0.744884681
0.21,18.5908,3.861242416,16.1884,1.458842416,15.3185,0.588942416,13.883,-0.846557584,13.0138,-1.715757584
-0.14,17.8851,3.155542416,15.9097,1.180142416,15.5031,0.773542416,14.3515,-0.378057584,13.5798,-1.149757584
-0.14,18.5391,3.809542416,16.5034,1.773842416,16.1529,1.423342416,14.9623,0.232742416,14.1761,-0.553457584
0.21,18.4638,3.734242416,16.1633,1.433742416,15.4733,0.743742416,14.1167,-0.612857584,13.2678,-1.461757584
0.03,18.5036,3.774042416,16.6667,1.937142416,16.3364,1.606842416,15.1951,0.465542416,14.4402,-0.289357584
-0.06,18.7337,4.004142416,17.1859,2.456342416,17.024,2.294442416,15.9834,1.253842416,15.284,0.554442416
0.19,18.3886,3.659042416,16.2363,1.506742416,15.6211,0.891542416,14.3237,-0.405857584,13.5136,-1.215957584
0.33,18.7871,4.057542416,16.065,1.335442416,14.697,-0.032557584,12.9614,-1.768157584,11.9572,-2.772357584
0.68,18.5272,3.797642416,16.3865,1.656942416,15.6098,0.880242416,14.172,-0.557557584,13.3557,-1.373857584
0.05,18.7201,3.990542416,15.9868,1.257242416,15.0088,0.279242416,13.4639,-1.265657584,12.5252,-2.204357584
