NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
3201,536471,154.4219417,-46.44683889,15.016,16.013,4790,2.3,-1.438,0.136,0.247,0.124,-0.262,,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.6296,0,13.6491,0,R0000017
3201,538979,154.4123417,-46.43891111,15.354,16.336,4836,2.39,-1.588,0.133,,,-0.226,0.2,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.0246,0,14.0312,0,R0000134
3201,539003,154.4293917,-46.43887778,14.351,15.425,4626,1.9,-1.471,0.173,0.041,,0.098,0.017,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,13.9544,0,12.8936,0,R0000135
3201,539642,154.4068917,-46.4369,13.505,14.671,4442,1.47,-1.545,0.118,-0.637,,0.498,0.04,18.0968,0.0121,15.7472,0,14.7297,0,13.0907,0,11.9865,0,R0000181
3201,542040,154.4015708,-46.43036667,14.845,15.851,4753,2.21,-1.43,0.145,0.373,0.173,0.001,0.065,18.4266,0.0229,16.3737,0.0036,15.9226,0.0049,14.4542,0,13.4647,0,R0000409
3201,542486,154.3862333,-46.42919167,14.784,15.73,4753,2.22,-1.551,0.128,-0.032,,0.309,0.034,18.0742,0.007,16.2723,0.0099,15.7886,0.0046,14.4003,0,13.4454,0,R0000476
3201,542579,154.425875,-46.42903611,15.559,16.524,4890,2.52,-1.543,0.171,-0.022,,0.432,0.05,18.6746,0.0104,17.0007,0.005,16.5807,5.00E-04,15.2036,0,14.2312,0,R0000483
3201,543664,154.4214375,-46.42604444,14.814,15.864,4737,2.17,-1.457,0.105,,,-0.103,0.063,18.454,0.0065,16.3893,0.0023,15.9291,9.00E-04,14.443,0,13.4388,0,R0000657
3201,543863,154.4391792,-46.42548333,13.668,14.861,4495,1.61,-1.562,0.141,,,-0.246,0.094,18.1603,0.0293,15.7515,0.0281,14.9833,0,13.3098,0,12.2064,0,R0000690
3201,543875,154.3622583,-46.42525556,15.903,16.773,4989,2.78,-1.555,0.114,0.142,,,,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.537,0,14.6342,0,R0000712
3201,544181,154.37665,-46.42443333,14.796,15.767,4763,2.25,-1.541,0.139,0.049,0.247,0.249,0.082,18.1591,0.0036,16.3086,0.0102,15.8346,0.0022,14.4166,0,13.4613,0,R0000761
3201,544916,154.399425,-46.42249444,14.652,15.642,4733,2.18,-1.432,0.143,0.385,0.005,-0.196,0.072,18.1686,0.0144,16.1506,0.0029,15.7139,0.0051,14.2951,0,13.3216,0,R0000897
3201,545094,154.4130417,-46.42209167,15.446,16.371,4905,2.58,-1.567,0.098,,,-0.297,0.199,18.3111,0.0199,16.6372,0.0066,16.4077,0.001,15.0995,0,14.1739,0,R0000930
3201,545181,154.358325,-46.42171389,15.051,16.001,4809,2.35,-1.496,0.222,,,-0.247,0.047,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.6817,0,13.7147,0,R0000968
3201,546096,154.3837042,-46.41942222,14.205,15.251,4630,1.93,-1.568,0.112,0.286,0.091,-0.063,0.06,18.0139,0.0137,15.8744,0.012,15.3377,0,13.8508,0,12.8344,0,R0001135
3201,547469,154.3873667,-46.41588889,15.681,16.566,4955,2.7,-1.525,0.148,0.3,,0.142,0.065,18.5164,0.0052,16.929,0.0074,16.6079,0.0053,15.3089,0,14.3885,0,R0001412
3201,547791,154.4136708,-46.41514167,15.702,16.61,4957,2.71,-1.512,0.145,0.213,,0.33,,18.6171,0.0124,16.9852,0.0035,16.6705,2.00E-04,15.3444,0,14.4159,0,R0001459
3201,547858,154.4155875,-46.41495556,15.328,16.214,4851,2.44,-1.515,0.15,,,0.319,0.032,18.3662,0.0139,16.7018,0.0063,16.3219,0.003,14.9819,0,14.0557,0,R0001486
3201,548134,154.3811542,-46.41413056,14.557,15.55,4703,2.1,-1.512,0.201,-0.246,,0.635,0.111,18.032,0.0079,16.1637,0.0077,15.6056,0,14.1959,0,13.203,0,R0001557
3201,548152,154.3601292,-46.41403056,12.911,14.209,4311,1.17,-1.507,0.178,0.196,0.035,0.163,0.026,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,12.4928,0,11.3395,0,R0001566
3201,548860,154.4198083,-46.41245,13.657,14.808,4496,1.61,-1.405,0.106,,,-0.129,0.065,18.132,0.0107,15.6839,2.00E-04,14.8926,0,13.2668,0,12.2026,0,R0001697
3201,549551,154.430425,-46.41079444,13.783,14.91,4537,1.71,-1.581,0.112,0.075,,0.416,0.019,18.0287,0.0098,15.7817,0.0083,15.0088,0,13.4354,0,12.4019,0,R0001841
3201,549944,154.3812125,-46.40962222,14.058,15.157,4583,1.81,-1.479,0.127,0.242,,-0.076,0.032,18.1218,0,15.8591,0.0138,15.219,0,13.6959,0,12.6472,0,R0001949
3201,550664,154.4269042,-46.40786389,14.721,15.691,4754,2.23,-1.495,0.153,,,0.073,,18.032,0.0067,16.2427,0.0073,15.7693,0.0011,14.3849,0,13.4358,0,R0002101
3201,550719,154.4230708,-46.40770833,15.418,16.359,4910,2.6,-1.547,0.116,-0.351,,0.93,,18.3853,0.0018,16.7121,0.0096,16.397,0.0011,15.0783,0,14.1629,0,R0002126
3201,550783,154.4387042,-46.40758056,13.912,15.005,4569,1.79,-1.506,0.17,0.335,0.098,0.264,0.131,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,13.571,0,12.5433,0,R0002140
3201,551068,154.3837167,-46.40679444,14.671,15.654,4752,2.23,-1.523,0.222,-0.086,,0.057,0.089,18.0008,0.0081,16.1206,0.0102,15.7518,0.003,14.3481,0,13.3968,0,R0002194
3201,552176,154.3921125,-46.40413333,13.055,14.261,4364,1.3,-1.509,0.172,-0.343,,0.489,0.018,17.988,0.0171,15.4936,0,14.3612,0,-99.9999,99.9999,11.5738,0,R0002396
3201,553110,154.3797958,-46.40166389,16.178,17.064,5032,2.87,-1.49,0.13,0.061,,0.401,0.09,18.9164,0.0072,17.3887,0.0077,17.0925,0.001,15.7926,0,14.8552,0,R0002585
3201,553502,154.4001542,-46.40075,14.084,15.135,4606,1.88,-1.454,0.147,-0.345,,0.611,0.016,17.8786,0.0129,15.8682,0.0051,15.1922,0,13.7234,0,12.7207,0,R0002650
3201,553560,154.4121,-46.40063333,13.015,14.219,4368,1.32,-1.573,0.133,,,-0.116,0.041,17.8747,0.0307,-99.9999,99.9999,14.327,0,12.6322,0,11.5312,0,R0002658
3201,553698,154.4059917,-46.40022778,14.672,15.611,4761,2.26,-1.562,0.085,0.238,,-0.122,,17.7312,0.012,15.9554,0.0128,15.6422,5.00E-04,14.3376,0,13.4016,0,R0002678
3201,555512,154.4208375,-46.39547778,13.378,14.565,4437,1.47,-1.44,0.103,0.079,0.141,0.387,0.057,18.0557,0.0086,15.6132,0.0032,14.6604,0,12.9976,0,11.9138,0,R0002948
3201,555643,154.4315667,-46.39513889,14.631,15.662,4718,2.14,-1.454,0.207,-0.239,,0.337,,18.1058,3.00E-04,16.2445,0,-99.9999,99.9999,14.268,0,13.3016,0,R0002963
3201,555784,154.410225,-46.39466389,14.704,15.743,4736,2.18,-1.461,0.188,-0.784,,0.518,0.093,18.1512,0.0229,16.3061,0.004,15.7637,0.0049,14.3593,0,13.3764,0,R0002986
3201,555944,154.3913292,-46.39416389,15.587,16.53,4911,2.59,-1.397,0.074,0.191,,0.016,0.169,18.6894,0.0033,16.8584,0.0048,16.5735,0.0034,15.2149,0,14.2718,0,R0003013
3201,556574,154.4275333,-46.39241389,15.118,16.107,4823,2.38,-1.515,0.102,,,0.104,0.003,18.3353,0.0058,16.5372,0.0054,-99.9999,99.9999,14.759,0,13.8145,0,R0003096
3201,557046,154.4409375,-46.39093056,14.586,15.621,4706,2.11,-1.507,0.13,,,0.44,0.082,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.2436,0,13.2471,0,R0003162
3201,557181,154.4109667,-46.39045,13.278,14.478,4410,1.4,-1.511,0.114,,,0.135,0.016,18.1837,0.0152,15.548,0.0014,14.5942,0,12.8886,0,11.7837,0,R0003189
3201,557810,154.3804708,-46.38803056,15.636,16.557,4916,2.59,-1.448,0.13,,,0.315,0.001,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.2876,0,14.3407,0,R0003272
3201,559537,154.3958042,-46.38276389,15.609,16.53,4934,2.65,-1.523,0.137,0.233,,0.14,,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.2828,0,14.3451,0,R0003405
3201,560148,154.4028583,-46.38032222,15.062,16.022,4814,2.36,-1.54,0.17,,,-0.114,0.001,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,14.7407,0,13.7755,0,R0003441
3201,560947,154.3993958,-46.37713611,15.53,16.408,4919,2.62,-1.525,0.111,,,0.359,0.055,-99.9999,99.9999,-99.9999,99.9999,-99.9999,99.9999,15.2226,0,14.3068,0,R0003475
