NGC,Star ID,RAJ2000,DEJ2000,Vmag,Imag,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
7099,32583,325.0791,-23.1814,12.42,11.13,-2.24,0.05,0.33,0.11,0.24,0.06,17.5463,0.0113,15.0135,0,13.7815,0,12.1057,0,11.0919,0,R0002057
7099,56289,325.0752,-23.1739,12.57,11.36,-2.4,0.06,0.11,0.18,0.68,0.12,17.1079,0.0635,14.8737,0,13.8,0,12.2793,0,11.3267,0,R0003727
7099,66415,325.0896,-23.1644,12.02,10.56,-2.27,0.06,0.18,0.11,0.54,0.12,17.749,0.1546,15.1257,0,13.4749,0,11.7532,0,10.626,0,R0004505
