NGC,Star ID,RAJ2000,DEJ2000,Vmag,Bmag,Teff,logg,Fe/H,Fe/H_e,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_e,F336W,F336W_e,F438W,F438W_e,F606W,F606W_e,F814W,F814W_e,photo_ID
6838,16953,298.4434333,18.7793,14.924,16.043,4711,2.36,-0.775,0.11,,,0.32,0.032,19.3066,0.0053,16.9367,0.0033,16.1096,5.00E-04,14.593,0,13.613,0,R0001184
6838,17570,298.42615,18.78236111,14.899,16.037,4785,2.49,-0.776,0.107,,,0.137,0.004,19.3803,0.0103,16.8163,0.0126,16.0682,0.0061,14.5237,0,13.534,0,R0001344
6838,17762,298.4336458,18.78329722,14.361,15.518,4591,2.16,-0.824,0.096,0.477,0.013,0.414,0.004,19.1928,0.0323,16.5698,0.0061,15.5962,0,13.9489,0,12.9353,0,R0001408
6838,17852,298.4405708,18.7837,14.322,15.475,4572,2.14,-0.814,0.132,,,0.443,0.064,19.231,0.009,16.6036,0.0034,15.5512,3.00E-04,13.8972,0,12.8562,0,R0001436
6838,18294,298.4501,18.78576389,14.292,15.469,4565,2.12,-0.84,0.159,0.47,0.037,0.336,0.015,19.2677,0.0152,16.5803,0.0043,15.5509,7.00E-04,13.9026,0,12.8632,0,R0001552
6838,18300,298.4272375,18.78570556,14.869,15.976,4785,2.48,-0.82,0.083,,,0.395,0.005,19.2182,0.0772,16.8882,0.0036,16.0358,0.0058,14.4973,0,13.5246,0,R0001547
6838,18699,298.4343042,18.78757778,14.865,16.02,4766,2.47,-0.862,0.178,0.462,0.069,0.233,0.032,19.3494,0.0211,16.8012,0.0073,16.0469,8.00E-04,14.4814,0,13.4881,0,R0001634
6838,19779,298.4321875,18.79273333,13.655,14.982,4334,1.71,-0.817,0.145,0.424,0.088,0.436,0.144,19.6337,0.018,16.3647,0.0175,15.0794,0,13.1719,0,12.0523,0,R0001862
6838,20286,298.423175,18.79532778,14.956,16.07,4806,2.53,-0.812,0.135,0.241,,0.443,0.074,19.3268,0,,,,,14.5823,0,13.599,0,R0001952
6838,508737,298.428125,18.75013056,14.873,16,4813,2.5,-0.785,0.169,0.373,,0.429,0.084,,,,,,,14.5497,0,13.591,0,R0000062
6838,509114,298.4472083,18.75251944,14.925,16.038,4832,2.53,-0.794,0.17,0.418,,0.373,0.057,19.3601,0,16.8239,0,16.1054,0,14.5569,0,13.5968,0,R0000100
6838,509826,298.4507833,18.75675278,14.819,15.948,4800,2.47,-0.787,0.17,0.483,0.066,0.233,0.096,19.4102,0.021,16.841,0.0213,16.1039,0.006,14.5656,0,13.5751,0,R0000187
6838,509871,298.464375,18.75704444,14.877,15.978,4810,2.5,-0.791,0.135,,,0.313,0.015,,,,,,,14.5542,0,13.5856,0,R0000197
6838,510703,298.427125,18.76183333,14.904,15.968,4796,2.5,-0.832,0.14,0.366,,0.43,0.113,19.173,0.0108,16.7825,0.0076,16.0054,0,14.4895,0,13.5442,0,R0000339
6838,511023,298.449925,18.76369722,14.292,15.487,4571,2.13,-0.799,0.147,0.35,0.037,0.316,0.086,19.3735,0.0075,16.5175,0.0155,15.5432,0.0045,13.8878,0,12.8411,0,R0000419
6838,511182,298.4591667,18.76459444,14.914,16.023,4814,2.51,-0.837,0.126,0.383,,0.24,0.074,19.3193,0.0405,16.7897,0.0108,16.0632,0.0057,14.5331,0,13.5512,0,R0000458
6838,511602,298.4244042,18.76671667,14.906,16.036,4828,2.52,-0.803,0.112,0.367,,0.422,0.073,19.1442,0.0485,16.8548,0.0166,16.0711,0.0019,14.5787,0,13.6305,0,R0000548
6838,512089,298.4361667,18.76928889,14.723,15.845,4719,2.38,-0.75,0.113,0.352,0.003,0.199,0.146,19.2447,0.0088,16.6615,0.011,15.8774,0.0041,14.3123,0,13.3325,0,R0000673
6838,512483,298.4545625,18.77165833,14.868,15.936,4777,2.48,-0.773,0.123,0.474,,0.113,0.077,19.2275,0.0135,16.7445,0.0265,16.0757,0.0044,14.5534,0,13.5787,0,R0000776
6838,512834,298.4588542,18.77636389,14.837,15.483,4507,2,-0.856,0.144,0.325,0.06,0.226,0.028,19.2226,0.1289,16.8853,0.004,16.1322,8.00E-04,14.6015,0,13.6327,0,R0001028
6838,513205,298.4549042,18.78090278,13.709,14.997,4379,1.77,-0.852,0.15,,,0.408,0.087,19.3104,0.0272,16.3413,0.0078,15.0595,0,13.2727,0,12.1879,0,R0001277
