epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,0.33603997403147196,0.0,0.13591772995211862,0.0,0.0019399999999999999
2,0.12435065064173524,0.0,0.12039431116797707,0.0,0.0018817999999999999
3,0.1090347415739947,0.0,0.11603055555712093,0.0,0.0018253459999999998
4,0.0950047309593399,0.0,0.10720670290968635,0.0,0.0017705856199999998
5,0.08722392735209795,0.0,0.10690965029326352,0.0,0.0017174680513999997
6,0.08308559755730156,0.0,0.10296288572929123,0.0,0.0016659440098579998
7,0.08361308092232977,0.0,0.10438489101149818,0.0,0.0016159656895622597
8,0.08006425519095789,0.0,0.10519330135800621,0.0,0.0015674867188753918
9,0.07803205262390103,0.0,0.10635422576557506,0.0,0.00152046211730913
10,0.07722648070885403,0.0,0.10184805907986381,0.0,0.001474848253789856
11,0.07508878207000175,0.0,0.10401617261496457,0.0,0.0014306028061761603
12,0.07835207300463526,0.0,0.10381330888379704,0.0,0.0013876847219908754
13,0.07498478609146458,0.0,0.0993953977118839,0.0,0.001346054180331149
14,0.0744980495091122,0.0,0.10081481730396097,0.0,0.0013056725549212146
15,0.07369473853176182,0.0,0.09953320703723213,0.0,0.0012665023782735781
16,0.07366492643509762,0.0,0.09734601324254816,0.0,0.0012285073069253707
17,0.07353987238637291,0.0,0.1037113710560582,0.0,0.0011916520877176095
18,0.07289905045734774,0.0,0.09929873997514899,0.0,0.0011559025250860813
19,0.07290736408811985,0.0,0.09566242044622247,0.0,0.0011212254493334988
20,0.07206066037611206,0.0,0.09573458541523326,0.0,0.0010875886858534938
21,0.07118734470245862,0.0,0.09507015550678427,0.0,0.001054961025277889
22,0.0727249018036493,0.0,0.09576216814192859,0.0,0.0010233121945195523
23,0.06990891411015303,0.0,0.09538977119055661,0.0,0.0009926128286839658
24,0.0707358677714768,0.0,0.09360046955672177,0.0,0.0009628344438234467
25,0.06980963840638058,0.0,0.09565673700787804,0.0,0.0009339494105087433
26,0.07044407186826857,0.0,0.09473260017958554,0.0,0.000905930928193481
27,0.06972051124171455,0.0,0.09271955693309958,0.0,0.0008787530003476764
28,0.06930787400296419,0.0,0.09294441342353821,0.0,0.0008523904103372461
29,0.07006226391485422,0.0,0.09293910793282768,0.0,0.0008268186980271287
30,0.07098232142369051,0.0,0.09372266720641743,0.0,0.0008020141370863148
