epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.1247358345749354,0.0,0.9428588531234048,0.0,0.000192
2,1.0427894273606857,0.0,0.9002855799414895,0.0,0.00018432
3,0.9745545157111517,0.0,0.866210092197765,0.0,0.00017694719999999999
4,0.9286534839337415,0.0,0.8312284729697488,0.0,0.00016986931199999998
5,0.8948655476664552,0.0,0.8002677939154885,0.0,0.00016307453951999997
6,0.8669371056084586,0.0,0.7730866128748114,0.0,0.00015655155793919997
7,0.8415788884210115,0.0,0.7506432750008323,0.0,0.00015028949562163196
8,0.818375146920138,0.0,0.7270045659758828,0.0,0.00014427791579676668
9,0.7966351798265288,0.0,0.7076167951930653,0.0,0.000138506799164896
10,0.7768757437715436,0.0,0.6836920055476102,0.0,0.00013296652719830017
11,0.7571561938465232,0.0,0.6653838699514215,0.0,0.00012764786611036815
12,0.7393173516386806,0.0,0.6448217196898027,0.0,0.00012254195146595343
13,0.7217416851827414,0.0,0.6239106709306891,0.0,0.0001176402734073153
14,0.7043812434272011,0.0,0.6040120666677301,0.0,0.00011293466247102267
15,0.6866695473689844,0.0,0.5820406350222501,0.0,0.00010841727597218177
16,0.6661683633775994,0.0,0.5618162940848958,0.0,0.00010408058493329449
17,0.6442026118240735,0.0,0.5421648242256858,0.0,9.99173615359627e-05
18,0.6206489223064763,0.0,0.5267987468025901,0.0,9.592066707452419e-05
19,0.598075797062109,0.0,0.5164227052168413,0.0,9.208384039154321e-05
20,0.5775156428318212,0.0,0.5083252110264518,0.0,8.840048677588148e-05
21,0.5599610581256376,0.0,0.5034806105223569,0.0,8.486446730484622e-05
22,0.5445600907401283,0.0,0.5001931678165089,0.0,8.146988861265236e-05
23,0.5308684367354554,0.0,0.4973058050329035,0.0,7.821109306814626e-05
24,0.5186737091234415,0.0,0.49448043649846857,0.0,7.508264934542041e-05
25,0.5075853667636909,0.0,0.4937827532941645,0.0,7.207934337160358e-05
26,0.4973928289543284,0.0,0.4922147447412664,0.0,6.919616963673944e-05
27,0.48825020719282697,0.0,0.49119057709520514,0.0,6.642832285126986e-05
28,0.47999229171488544,0.0,0.49029236219146033,0.0,6.377118993721907e-05
29,0.4723012580139802,0.0,0.4878251471302726,0.0,6.122034233973031e-05
30,0.4653126677074055,0.0,0.4859788173978979,0.0,5.8771528646141094e-05
31,0.45878746043337454,0.0,0.4842837778004733,0.0,5.6420667500295446e-05
32,0.4528784250268842,0.0,0.4825130809437145,0.0,5.416384080028363e-05
33,0.4473467693470492,0.0,0.48116885261102155,0.0,5.199728716827228e-05
34,0.44208295805619496,0.0,0.4792619022456082,0.0,4.991739568154139e-05
35,0.43729554308523044,0.0,0.4764132851904089,0.0,4.792069985427973e-05
36,0.4327567922006739,0.0,0.474364237351851,0.0,4.6003871860108536e-05
37,0.42846922451021646,0.0,0.47173999656330456,0.0,4.4163716985704197e-05
38,0.4244606388677465,0.0,0.46934805133126,0.0,4.239716830627603e-05
39,0.42067502527543815,0.0,0.4679645977237008,0.0,4.070128157402498e-05
40,0.4169894900947514,0.0,0.4651107571341775,0.0,3.907323031106398e-05
41,0.41362722498355525,0.0,0.46193083037029614,0.0,3.7510301098621417e-05
42,0.41032101228685663,0.0,0.4602452652020888,0.0,3.600988905467656e-05
43,0.4072927785391855,0.0,0.4579199376431378,0.0,3.4569493492489495e-05
44,0.40439759386648044,0.0,0.4553922252221541,0.0,3.3186713752789914e-05
45,0.40160897374153137,0.0,0.4533417373895645,0.0,3.185924520267832e-05
46,0.3989992070906233,0.0,0.4513240930708972,0.0,3.058487539457119e-05
