epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,0.29872758544304157,0.0,0.18946339190006256,0.0,9.8e-05
2,0.2919335041533817,0.0,0.2311861521253983,0.0,9.604e-05
3,0.23420434167439289,0.0,0.15162924056251845,0.0,9.41192e-05
4,0.2588728150183504,0.0,0.14050642307847738,0.0,9.2236816e-05
5,0.2296084271151234,0.0,0.17004763583342233,0.0,9.039207968e-05
6,0.2367123928937045,0.0,0.14463137711087862,0.0,8.858423808639999e-05
7,0.1948620903390375,0.0,0.14999373815953732,0.0,8.681255332467199e-05
8,0.19550384872338988,0.0,0.14406334919234118,0.0,8.507630225817855e-05
9,0.19150381193242288,0.0,0.13927502805987993,0.0,8.337477621301498e-05
10,0.19026167058301244,0.0,0.1291144254306952,0.0,8.170728068875468e-05
11,0.1970879909328439,0.0,0.14736627787351608,0.0,8.007313507497958e-05
12,0.17734407531944188,0.0,0.09586934621135394,0.0,7.847167237347999e-05
13,0.17714159658009357,0.0,0.1301279632995526,0.0,7.690223892601038e-05
14,0.16805730285969647,0.0,0.13680186867713928,0.0,7.536419414749018e-05
15,0.17189253897152162,0.0,0.11381858090559642,0.0,7.385691026454037e-05
16,0.18800569768487052,0.0,0.11900769794980685,0.0,7.237977205924956e-05
17,0.17719642572443595,0.0,0.103712048381567,0.0,7.093217661806457e-05
18,0.16967125914313577,0.0,0.10719253184894721,0.0,6.951353308570328e-05
