epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,0.22063978886172783,0.0,0.09653748571872711,0.0,9.8e-05
2,0.1956363066070085,0.0,0.09112108250459035,0.0,9.604e-05
3,0.19056383452095868,0.0,0.07793896024425824,0.0,9.41192e-05
4,0.19766758186784805,0.0,0.07421119262774785,0.0,9.2236816e-05
5,0.1479591775466414,0.0,0.0948437253634135,0.0,9.039207968e-05
6,0.13318143751286812,0.0,0.07004137461384137,0.0,8.858423808639999e-05
7,0.1387860084888083,0.0,0.0690949484705925,0.0,8.681255332467199e-05
8,0.1389875909591692,0.0,0.0841643363237381,0.0,8.507630225817855e-05
9,0.11263173302778831,0.0,0.08395582561691602,0.0,8.337477621301498e-05
10,0.1261700211067545,0.0,0.07729878028233846,0.0,8.170728068875468e-05
11,0.11468584404002487,0.0,0.07441758612791698,0.0,8.007313507497958e-05
12,0.12008986797402887,0.0,0.07484208295742671,0.0,7.847167237347999e-05
